10.00 08.04 10.00 09.14 10.00 07.46 08.00 06.58
08.00 06.95 08.00 08.14 08.00 06.77 08.00 05.76
13.00 07.58 13.00 08.74 13.00 12.74 08.00 07.71
09.00 08.81 09.00 08.77 09.00 07.11 08.00 08.84
11.00 08.33 11.00 09.26 11.00 07.81 08.00 08.47
14.00 09.96 14.00 08.10 14.00 08.84 08.00 07.04
06.00 07.24 06.00 06.13 06.00 06.08 08.00 05.25
04.00 04.26 04.00 03.10 04.00 05.39 19.00 12.50
12.00 10.84 12.00 09.13 12.00 08.15 08.00 05.56
07.00 04.82 07.00 07.26 07.00 06.42 08.00 07.91
05.00 05.68 05.00 04.74 05.00 05.73 08.00 06.89
